"Id","SkuId","Type","Name","Image"
"6778091636290449408","6778091635233484800","颜色",,"https://img13.360buyimg.com/n9/s60x76_jfs/t1/154634/35/19719/214262/60339e17E4e12fa4f/57a61b2ba15dfbd9.jpg!cc_60x76.jpg"
"6778091637288693760","6778091635233484800","尺码",,
"6778091639708807168","6778091638769283072","颜色",,"https://img12.360buyimg.com/n9/s60x76_jfs/t1/150755/21/20018/193337/60339e1dE1be46e12/e92a097f18274637.jpg!cc_60x76.jpg"
"6778091640707051520","6778091638769283072","尺码",,
"6778091643072638976","6778091642045034496","颜色",,"https://img11.360buyimg.com/n9/s60x76_jfs/t1/152940/25/18984/201612/60339e23E213ee7c0/dc539c7fec9226b6.jpg!cc_60x76.jpg"
"6778091644066689024","6778091642045034496","尺码",,
"6778091646298058752","6778091645383700480","颜色",,"https://img10.360buyimg.com/n9/s60x76_jfs/t1/167728/23/7412/211085/60339e29E46ada565/1d0fb0657f626b4c.jpg!cc_60x76.jpg"
"6778091647300497408","6778091645383700480","尺码",,
"6778091649749970944","6778091648713977856","颜色",,"https://img14.360buyimg.com/n9/s60x76_jfs/t1/153198/8/18694/223604/60339e2fEe8f91d75/cf2436f981590b1e.jpg!cc_60x76.jpg"
"6778091650777575424","6778091648713977856","尺码",,
"6778091653201883136","6778091652178472960","颜色",,"https://img13.360buyimg.com/n9/s60x76_jfs/t1/166833/36/7554/195542/60339e38Eeaed1493/2358c36eab829f81.jpg!cc_60x76.jpg"
"6778091654246264832","6778091652178472960","尺码",,
"6778091656532160512","6778091655588442112","颜色",,"https://img12.360buyimg.com/n9/s60x76_jfs/t1/169149/12/7495/202851/60339e3eEdc1e4a18/0bdeb478369084aa.jpg!cc_60x76.jpg"
"6778091657660428288","6778091655588442112","尺码",,
"6778091660135067648","6778091659128434688","颜色",,"https://img11.360buyimg.com/n9/s60x76_jfs/t1/168790/14/7414/205598/60339e44Eaf2f5e7a/ebfe8b7c0c063993.jpg!cc_60x76.jpg"
"6778091661082980352","6778091659128434688","尺码",,
"6778091663406624768","6778091662441934848","颜色",,"https://img10.360buyimg.com/n9/s60x76_jfs/t1/150390/31/20480/211649/60339e55Ee67d056d/ee3a2bddb915d1fc.jpg!cc_60x76.jpg"
"6778091664350343168","6778091662441934848","尺码",,
"6778091666762067968","6778091665742852096","颜色",,"https://img14.360buyimg.com/n9/s60x76_jfs/t1/151817/31/18434/224433/60339e5dEf0648006/878054ae125194f8.jpg!cc_60x76.jpg"
"6778091667714174976","6778091665742852096","尺码",,
"6778091669995876352","6778091669039575040","颜色",,"https://img13.360buyimg.com/n9/s60x76_jfs/t1/170612/5/7464/201689/60339e64E12e6a182/012d2c29de6e18ca.jpg!cc_60x76.jpg"
"6778091670994120704","6778091669039575040","尺码",,
