Id,Category
"6778091374440050688","6778073159441805314"
"6778091602220118016","6778073159441805314"
"6778091887810277376","6778073159441805314"
"6778092277360455680","6778073159441805314"
"6778092606508462080","6778073159441805314"
"6778092859412410368","6778073159441805314"
"6778093102002565120","6778073159441805314"
"6778093253572128768","6778073159441805314"
"6778093418324389888","6778073159441805314"
"6778093542924578816","6778073159441805314"
"6778093635606114304","6778073159441805314"
"6778093891806785536","6778073159441805314"
"6778094184950886400","6778073159441805314"
"6778094330845556736","6778073159441805314"
"6778094519861866496","6778073159441805314"
"6778094680335937536","6778073159441805314"
"6778094845344051200","6778073159441805314"
"6778095112827400192","6778073159441805314"
"6778095293752897536","6778073159441805314"
"6778095576184745984","6778073159441805314"
"6778095792917016576","6778073159441805314"
"6778095944335585280","6778073159441805314"
"6778096028313939968","6778073159441805314"
"6778096062501711872","6778073159441805314"
"6778096144005427200","6778073159441805314"
"6778096243657895936","6778073159441805314"
"6778096335085334528","6778073159441805314"
"6778096537661829120","6778073159441805314"
"6778096829262426112","6778073159441805314"
"6778826404498132992","6778073159441805319"
"6778990302452772864","6778073159441805319"
"6779013050814164992","6778073159441805319"
"6779013667137777664","6778073159441805319"
"6779013935850057728","6778073159441805319"
"6779019409226092544","6778073159441805319"
"6779019462401478656","6778073159441805319"
"6779019487718297600","6778073159441805319"
"6779019513634902016","6778073159441805319"
"6779019543804530688","6778073159441805319"
"6779019572703285248","6778073159441805319"
"6779019580836040704","6778073159441805319"
"6779019648825708544","6778073159441805319"
"6779019712600100864","6778073159441805319"
"6779019816010665984","6778073159441805319"
"6779019897803788288","6778073159441805319"
"6779019933287600128","6778073159441805319"
"6779019996462206976","6778073159441805319"
"6779020029324578816","6778073159441805319"
"6779020118566785024","6778073159441805319"
"6779020193061818368","6778073159441805319"
"6779020286687072256","6778073159441805319"
"6779020364952784896","6778073159441805319"
"6779020492526735360","6778073159441805319"
"6779020616510361600","6778073159441805319"
"6779020744247889920","6778073159441805319"
"6779020920798728192","6778073159441805319"
"6779021062830444544","6778073159441805319"
"6779021104114978816","6778073159441805319"
"6779021111715057664","6778073159441805319"
"6779021137342255104","6778073159441805319"
